"group","overall_cause","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"White: 25-29","Deaths of despair",38.7084704406963,42.1330166685031,44.7738293173248,44.6879172714537,45.5063573577108,48.526811296693,54.9524153301397,65.2660870653398,70.0301154348438,64.9338220588716,61.9940929970574
"White: 30-34","Deaths of despair",41.2900324310912,44.3747745967943,48.7683115155474,49.5256674939591,51.2559873535017,55.9664233160145,63.9909605562025,75.1119559162762,83.1745274903686,77.4672819386228,77.7200421986497
"White: 35-39","Deaths of despair",47.768562222301,49.5563818156503,50.8016835070559,52.8997883225153,53.8991464115684,58.5153438517233,66.9496617169248,77.9632233721021,83.8529671377698,83.1970462086992,84.8195634880513
"White: 40-44","Deaths of despair",57.3999874809675,55.6434525943611,59.3140785658617,58.0010640967361,60.1907440733512,62.6198023887343,68.910194056206,74.9884871731943,81.6073525521608,80.146452683063,81.775360542619
"White: 45-49","Deaths of despair",69.1380133784735,70.558082741116,72.8220454030088,72.6615069180706,72.4239221254218,74.384985621922,77.4412746410728,80.1986984608141,86.7165099836427,82.9228342611545,84.3589206711102
"White: 50-54","Deaths of despair",71.4703893520558,72.4454117166313,77.2878842862194,79.3018970772556,81.1026812313803,83.6785728672163,87.352941776933,91.1227659197987,92.9217226304625,91.1500578757337,91.8368714814705
"White: 55-59","Deaths of despair",62.7371698438573,67.3374873202048,71.2123945336801,73.665370756685,78.0774639284458,81.6139971659884,85.0024279965981,88.4637638640489,92.4233994437884,93.6377345319418,95.6275329497124
"White: 60-64","Deaths of despair",47.0069030238172,53.1096073258179,54.5752041542044,58.5666977844024,63.3639510260162,67.6911202558202,70.2135265045413,73.0849205805402,76.9360061884416,78.0257228628827,80.7835811309458
"Hispanic: 25-29","Deaths of despair",14.6515496883339,14.8541056748085,15.7008974561415,14.900928898924,17.636852335897,19.1527697944204,19.7153539580339,25.7912890494607,29.0844188440262,30.1457887704254,31.9866653754618
"Hispanic: 30-34","Deaths of despair",16.1668247370721,16.2372172976108,18.4432429345801,18.3360954290895,18.7360467074958,20.0938342487313,23.4532453428243,27.6721966310941,28.9862313247698,31.568387101046,35.866209106551
"Hispanic: 35-39","Deaths of despair",18.3775408275498,19.1601009452064,20.9492214287867,20.7293445925201,20.7869561007428,22.5384130634633,24.4707112135187,31.9640953980287,34.0511905850451,34.5692172976618,37.9505824434966
"Hispanic: 40-44","Deaths of despair",26.9203640265972,26.2989075642833,25.8437844738115,26.0474143004041,25.2411218856449,27.9693033061302,29.6120371047113,32.0176452800655,33.9683054616235,35.9412904970276,40.8430320872338
